county_code,new_timeperiod,lending_club_available,bankruptcy_per_capita,log_bankruptcy,population_estimation,employed_individuals,monthly_earnings,labor_force,medianhouseholdincome,prosper_available,relative_time_m8andbeyond,relative_time_m7,relative_time_m6,relative_time_m5,relative_time_m4,relative_time_m3,relative_time_m2,relative_time_m1,relative_time_0,relative_time_p1,relative_time_p2,relative_time_p3,relative_time_p4,relative_time_p5,relative_time_p6,relative_time_p7,relative_time_p8andbeyond,cem_strata,cem_weights,nonbusiness_bankruptcy_percapita,business_bankruptcy_percapita,lc_available_internet_score,internet_access_score
16007,26,0,.16792612,.69314718,5.9549999,1.2920001,2.3559999,2.8659999,45.504002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.16792612,0,0,3
16007,27,0,.50377834,1.3862944,5.9549999,1.306,2.27,2.8659999,45.504002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.33585224,8.1967211,0,3
16007,28,0,.16792612,.69314718,5.9549999,1.35,2.5250001,2.8659999,45.504002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.16792612,0,0,3
16011,1,0,.72633177,3.4965076,44.056999,12.522,2.4389999,22.382999,45.889999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.68093604,2.259887,0,2
16011,2,0,.72633177,3.4965076,44.056999,12.728,2.5799999,22.382999,45.889999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.72633177,0,0,2
16011,3,0,.86251903,3.6635616,44.056999,12.562,2.55,22.382999,45.889999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.86251903,0,0,2
16011,4,0,.93061262,3.7376697,44.056999,12.573,2.789,22.382999,45.889999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.93061262,0,0,2
16011,5,0,.8283335,3.6375861,44.667999,12.107,2.3540001,21.827999,43.262001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.8283335,0,0,3
16011,6,0,.98504519,3.8066626,44.667999,12.399,2.494,21.827999,43.262001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.98504519,0,0,3
16011,7,0,1.1193696,3.9318256,44.667999,12.303,2.4949999,21.827999,43.262001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.0969821,1.1750882,0,3
